altitude,azimuth,eclat,eclon,ecd,
0.21456658986166738,3.8232195775831053,0.00956703436079487,5.127712173409151,0.769962,
0.20723248917198545,3.8470777309305473,0.015113333409972021,5.120574100693867,0.749123,
0.19754630027216105,3.873635639486545,0.020767830052077135,5.10999765896857,0.730157,
0.18543188937225127,3.9026340426675743,0.026427001769581654,5.096116789292075,0.71338,
0.17090582570894244,3.9336909485560505,0.031970657923919794,5.079210451502418,0.699085,
0.1540936861075355,3.9663114218184408,0.03726790859836587,5.059708303979978,0.687517,
0.1352360363275999,3.9999115670968663,0.04218592474074624,5.0381801662012204,0.678859,
0.11468067309371964,4.033854835340545,0.0466004964616428,5.015307597755887,0.67322,
0.09286050075969826,4.067495781397157,0.050406674102776695,4.991839782160174,0.670629,
0.07025996957872048,4.1002244751689805,0.053527480438659465,4.968539878367664,0.671031,
0.04737597670190026,4.131504690160524,0.055919024462568745,4.946130574768994,0.674299,
0.024680301699081034,4.160900774341886,0.05757124586711625,4.925247659262425,0.68024,
0.0025896192555035138,4.188090998470857,0.05850461527623477,4.906407994390146,0.688616,
-0.0185534750446295,4.2128680956263125,0.05876397679016887,4.889994429386216,0.69916,
-0.03848798276217788,4.235129783310276,0.058411081029152684,4.876256397758231,0.711589,
-0.057032440056598424,4.254862953404038,0.057517219839448,4.865322391547499,0.725623,
-0.07407630501619489,4.27212507536347,0.05615693203635383,4.857219555991778,0.740991,
-0.08956790617306004,4.287025592432407,0.05440323897645337,4.8518960226567796,0.75744,
-0.1035014728446685,4.299709119238075,0.05232445472764854,4.849242702287537,0.774741,
-0.11590493402217429,4.3103413619723305,0.049982361442154524,4.849112534182295,0.792689,
-0.12682939348663222,4.319098016239295,0.047431433860760194,4.851336283662572,0.811104,
-0.13634060592133868,4.326156473425136,0.04471879178224647,4.855734751683174,0.82983,
-0.144512415618559,4.331689944614082,0.041884607733081246,4.8621277130946705,0.848734,
-0.1514219345341092,4.335863538444585,0.03896276318488057,4.870340103917568,0.867704,
-0.1571461639131575,4.338831851405218,0.03598160958929385,4.880206021593092,0.886645,
-0.16175975141587748,4.340737694658285,0.03296474137389608,4.891571061794853,0.905479,
-0.16533359703361847,4.3417116488106995,0.029931725630890756,4.904293441742929,0.924139,
-0.16793406639439692,4.341872193328493,0.026898759631171595,4.918244278180173,0.942574,
-0.16962262502945027,4.3413262057185165,0.02387924504162531,4.933307307970721,0.960741,
-0.17045575729943643,4.340169675057561,0.02088427882282914,4.949378265784629,0.978603,
-0.1704850713325688,4.338488521118526,0.017923066919549487,4.9663640708880195,0.996135,
-0.1697575191127326,4.336359448397136,0.015003269587610269,4.984181926079504,1.01331,
-0.16831568132785163,4.333850790701142,0.012131287864221976,5.002758395905548,1.03012,
-0.1661980828508697,4.331023320201158,0.009312500257005467,5.022028506175683,1.04655,
-0.16343951631263912,4.32793100605342,0.006551457805451892,5.041934889741344,1.06258,
-0.16007135961076846,4.324621714886891,0.003852044592152828,5.062426992135298,1.07822,
-0.15612187925591403,4.321137850507165,0.0012176097189283445,5.0834603432273875,1.09346,
