altitude,azimuth,eclat,eclon,ecd,
0.5983129179415839,2.0706772397138704,-0.02217037900796413,0.4397910004068609,4.59795,
0.6083640036488476,2.086474960656125,-0.02207974493573013,0.44044431938561035,4.6134,
0.6183133175149804,2.1023932442678035,-0.021989346087152233,0.4411565982659099,4.62892,
0.6281585514688606,2.1184359830795088,-0.02189920549671641,0.4419275746937854,4.64451,
0.6378973708006719,2.1346070599685323,-0.021809344551556073,0.44275696033897416,4.66017,
0.6475274110671297,2.1509103404287924,-0.021719783074851246,0.4436444408209796,4.67588,
0.6570462758919358,2.1673496641824754,-0.021630539409748035,0.44458967555373113,4.69164,
0.6664515382423812,2.183928840432196,-0.021541630515584765,0.44559229753344687,4.70746,
0.6757407418505286,2.2006516404822793,-0.021453072084861594,0.4466519131636631,4.72332,
0.6849114017581818,2.2175217855667557,-0.021364878684514692,0.4477681022338263,4.73922,
0.6939610045625557,2.2345429312327516,-0.02127706392047334,0.44894041814810465,4.75515,
0.7028870137821674,2.251718660302043,-0.02118964062190427,0.45016838845623935,4.77112,
0.7116868714095941,2.269052468320728,-0.021102621042172698,0.45145151569705355,4.7871,
0.7203579999895287,2.2865477510426704,-0.02101601707693193,0.4527892785598003,4.80311,
0.7288978030785617,2.3042077906774856,-0.02092984050422976,0.45418113342430544,4.81914,
0.7373036665035413,2.322035748185573,-0.020844103253417158,0.4556265164627497,4.83518,
0.7455729527153184,2.3400346473715006,-0.02075881770433289,0.45712484664540165,4.85122,
0.7537029913354512,2.358207357929446,-0.02067399700079719,0.45867553010843204,4.86727,
0.7616910675765701,2.3765565768720838,-0.020589655331656322,0.46027796627190504,4.88332,
0.7695344112365765,2.395084811771858,-0.020505808096632397,0.46193155567620603,4.89936,
0.7772301886482538,2.4137943540621154,-0.020422471855963298,0.4636357086937999,4.9154,
0.7847755073855168,2.432687235554977,-0.020339663992715157,0.4653898533563551,4.93142,
0.7921674394489361,2.4517651878587903,-0.02025740210564182,0.46719344014995695,4.94743,
0.7994030495643708,2.4710296063378885,-0.020175703261534922,0.46904594232096475,4.96342,
0.8064794174392194,2.4904815313772337,-0.020094583297465007,0.47094685181879914,4.97939,
0.813393646143569,2.5101216436378446,-0.020014056331001503,0.4728956725247904,4.99533,
0.8201428595360479,2.529950265517713,-0.019934134537237694,0.4748919129716517,5.01124,
0.8267241951191573,2.549967356404132,-0.019854828153786797,0.4769350802543233,5.02712,
0.833134800958704,2.5701725074125523,-0.019776145626132075,0.4790246758632749,5.04297,
0.839371835337526,2.590564925337851,-0.019698093807217362,0.4811601933539041,5.05877,
0.8454324694221937,2.6111434103578763,-0.01962067815251725,0.48334111734843294,5.07453,
0.8513138942284167,2.631906340457592,-0.019543902882361183,0.48556692328746676,5.09024,
0.8570133282410034,2.6528516554486763,-0.01946777110628385,0.48783707744821886,5.1059,
0.8625280253760133,2.6739768418355467,-0.019392284918080316,0.4901510369029119,5.12151,
0.8678552834585423,2.695278919651882,-0.019317445477277213,0.492508249245718,5.13705,
0.8729924520967317,2.716754424005772,-0.01924325309512105,0.4949081520532966,5.15254,
0.8779369427533505,2.7383993916693927,-0.019169707342021,0.4973501721602097,5.16795,
0.8826862416168157,2.760209356769771,-0.019096807189112462,0.4998337249214746,5.1833,
0.8872379234285457,2.782179349411321,-0.01902455118962778,0.502358213687901,5.19858,
0.891589664134655,2.8043038886776426,-0.01895293769731775,0.5049230297225475,5.21378,
0.8957392538435286,2.8265769853055223,-0.018881965111437547,0.5075275527372969,5.2289,
0.8996846075850495,2.848992148072237,-0.018811632133184285,0.510171152147205,5.24393,
0.9034237725411616,2.8715423899872228,-0.01874193801781513,0.5128531890637782,5.25888,
0.9069549318391809,2.894220234804992,-0.018672882808641822,0.5155730190123491,5.27374,
0.9102764052603094,2.917017722181134,-0.018604467540223952,0.5183299953723889,5.2885,
0.9133866484878109,2.9399264165054912,-0.018536694394562417,0.5211234735692274,5.30317,
0.9162842533367099,2.962937428169566,-0.018469566784536682,0.5239528160174959,5.31775,
0.9189679496832465,2.9860414215332414,-0.018403089327096,0.5268173976477302,5.33222,
0.9214366150046738,3.009228628757427,-0.018337267664814277,0.5297166115067847,5.34659,
0.9236892934410759,3.0324888645819583,-0.01827210811172688,0.5326498735107965,5.36085,
0.9257252226042053,3.055811548080144,-0.018207617143715715,0.5356166252024013,5.375,
0.9275438606463022,3.079185743637945,-0.018143800811889092,0.5386163336076047,5.38905,
0.929144903560555,3.1026002219422586,-0.018080664197263025,0.5416484880534826,5.40298,
0.9305282874430121,3.126043523706202,-0.018018211017401458,0.5447125947559255,5.4168,
0.9316941791689538,3.149504015023617,-0.017956443441116944,0.5478081705886589,5.4305,
0.9326429633704875,3.172969942208661,-0.0178953620979262,0.5509347374083108,5.44408,
0.9333752315867417,3.196429486175414,-0.017834966220994494,0.554091817778736,5.45754,
0.9338917755546755,3.219870813613014,-0.017775253850259787,0.5572789322909745,5.47088,
0.93419358380687,3.2432821236221216,-0.01771622203747179,0.5604955982108257,5.48409,
0.9342818395200598,3.2666516964900265,-0.017657867019923477,0.5637413289865237,5.49717,
0.9341579179659094,3.28996794248661,-0.017600184352341907,0.5670156341479958,5.51012,
0.9338233832123252,3.3132194434719917,-0.017543169002154236,0.5703180192258298,5.52294,
0.9332799835778941,3.3363949974507747,-0.01748681542267978,0.5736479854432339,5.53562,
0.9325296458796752,3.35948366665874,-0.017431117623721126,0.5770050290608991,5.54816,
0.9315744701579456,3.3824748149237798,-0.017376069260773373,0.5803886403817351,5.56056,
